state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
မကွေးတိုင်းဒေသကြီး,20.815,94.85,သရက်ခရိုင်,19.417,95.089,သရက်မြို့နယ်,19.3215,95.17716,သရက်မြို့,19.3215,95.17716,​ကျောက်မဲရွာ,19.56335068,95.06478882,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,မင်္ဂလာဒုံမြို့နယ်,16.9468,96.1633,ထောက်ကြန့်မြို့,17.04275565,96.1323128,​ကျောက်ရေတွင်းရွာသစ်ရွာ,17.0344001,96.14801463,အမှတ်၅၀ရပ်ကွက်,16.9107717,96.1833165
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကန်ကြီးထောင့်မြို့နယ်,16.9329,94.89476,ကန်ကြီးထောင့်မြို့,16.9329,94.89476,​ကျောက်သံကျွန်းရွာ,16.9286499,94.84707642,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,သာပေါင်းမြို့နယ်,17.04734,94.80589,သာပေါင်းမြို့,17.04734,94.80589,​ကျောက်အိုင်ရွာ,16.95549011,94.66951752,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,လှည်းကူးမြို့နယ်,17.09875,96.22745,လှည်းကူးမြို့,17.09875,96.22745,​ကျောက်အိုင်ရွာ,17.09494972,96.18759155,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မအူပင်ခရိုင်,16.73023,95.6494,ညောင်တုန်းမြို့နယ်,17.04903,95.63359,ညောင်တုန်းမြို့,17.04903,95.63359,​ကျောင်းကြီးစုရွာ,17.03221512,95.62164307,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောင်းကွင်းရွာ,17.55237007,95.38156128,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောင်းကွင်းရွာ,17.93045998,95.14324188,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောင်းကွင်းရွာ,17.46311951,94.9910965,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောင်းကွင်းရွာ,17.45941925,95.0011673,,,
